"Model","Milan","UtS","Mt2.0","FG","RSF"
"Milan","","0.540","0.860","0.020","0.020"
"UtS","","","0.780","0.040","0.020"
"Mt2.0","","","","0.080","0.080"
"FG","","","","","0.860"
"RSF","","","","",""
