"Model","Milan","UtS","Mt2.0","FG","RSF"
"Milan","","0.080","0.020","0.010","0.010"
"UtS","","","0.010","0.010","0.010"
"Mt2.0","","","","0.020","0.010"
"FG","","","","","0.680"
"RSF","","","","",""
