"Model","Milan","UtS","Mt2.0","FG","RSF"
"Milan","","0.040","0.120","0.010","0.010"
"UtS","","","0.860","0.080","0.060"
"Mt2.0","","","","0.260","0.140"
"FG","","","","","0.540"
"RSF","","","","",""
