"Model","Milan","UtS","Mt2.0","FG","RSF"
"Milan","","0.040","0.560","0.010","0.010"
"UtS","","","0.020","0.160","0.020"
"Mt2.0","","","","0.010","0.010"
"FG","","","","","0.540"
"RSF","","","","",""
