"Model","Milan","UtS","Mt2.0","FG","RSF"
"Milan","","0.080","0.560","0.440","0.660"
"UtS","","","0.080","0.060","0.080"
"Mt2.0","","","","0.420","0.660"
"FG","","","","","0.440"
"RSF","","","","",""
