"Model","Milan","UtS","Mt2.0","FG","RSF"
"Milan","","0.100","0.460","0.010","0.010"
"UtS","","","0.680","0.080","0.040"
"Mt2.0","","","","0.080","0.040"
"FG","","","","","0.640"
"RSF","","","","",""
